Word,Word_freq
fair,2
horseradish,2
mains,2
gf,2
dressing,2
positive,2
japanese,2
costs,2
meet,2
shy,2
satisfying,2
executed,2
bell,2
mustorder,2
thin,2
somewhere,2
blank,2
slate,2
spending,2
fruit,2
promise,2
money,2
taken,2
complement,2
tip,2
speechless,2
freaking,2
exactly,2
masterpiece,2
surprising,2
slight,2
fix,2
drinking,2
allergy,2
famous,2
cutest,2
tough,2
feed,2
fairly,2
considering,2
fat,2
chic,2
rather,2
rave,2
600,2
surely,2
thoughwe,2
types,2
tail,2
would've,2
vermicelli,2
accompanied,2
flavored,2
confirmed,2
surprise,2
eye,2
boons,2
personally,2
checked,2
bird's,2
lack,2
present,2
gives,2
watching,2
dryaged,2
melt,2
seemed,2
regular,2
pictured,2
g,2
se,2
forward,2
forgotten,2
jackfruit,2
appreciated,2
blend,2
basic,2
lumps,2
heavily,2
neutralize,2
text,2
whatever,2
hell,2
lovers,2
under,2
homemade,2
classic,2
complain,2
giving,2
closed,2
bitter,2
beginning,2
dangerous,2
raving,2
bottom,2
forgot,2
discounted,2
455,2
culinary,2
ao,2
book,2
pineapple,2
bourbon,2
outside,2
treated,2
compliment,2
provide,2
aware,2
scream,2
pot,2
normally,2
finish,2
pandemic,2
versions,2
palm,2
=,2
romantic,2
fishthe,2
um,2
line,2
cha,2
app,2
craving,2
straight,2
wonder,2
devour,2
chinese,2
7,2
thoroughly,2
shavings,2
50,2
weeks,2
requires,2
regret,2
tips,2
excellentwe,2
none,2
kicked,2
laid,2
itthe,2
whenever,2
kept,2
value,2
snag,2
knowing,2
hence,2
sauteed,2
foodi,2
complementary,2
appetite,2
730pm,2
slow,2
weekend,2
aka,2
mother,2
needs,2
complete,2
play,2
fans,2
face,2
plates,2
smile,2
biggest,2
somehow,2
via,2
accolades,2
control,2
necessary,2
offers,2
cook,2
inside,2
closer,2
lived,2
solid,2
followed,2
looks,2
lined,2
jowl,2
shut,2
chrissy,2
caviar,2
unreal,2
suggest,2
often,2
anymore,2
noon,2
consider,2
ton,2
1230,2
fry,2
modern,2
sweat,2
$105,2
online,2
range,2
enjoyable,2
missed,2
fell,2
bag,2
sooo,2
black,2
waitlist,2
located,2
chilly,2
estimated,2
2nd,2
thursday,2
selling,2
brooklyn,2
search,2
afternoon,2
exuberant,1
approval,1
consumed,1
sweetened,1
dishoverall,1
ingenious,1
@traveleen_gur,1
letdown,1
prejudice,1
crab*crab,1
intended,1
friends',1
lactose,1
heavenwe,1
thanksgiving,1
focuses,1
gorging,1
visited,1
lightly,1
formality,1
rude,1
separately,1
quantity,1
dips,1
obsessed,1
nailed,1
honey,1
friendsfamily,1
aesthetic,1
shallotwas,1
stating,1
riceambiance,1
medical,1
imperfection,1
vultures,1
heatspice,1
lean,1
photos,1
temperature,1
squids,1
sufficed,1
meh,1
scrumptious,1
forces,1
megreat,1
seal,1
dryer,1
reasonable,1
230pm,1
1x,1
saladfull,1
aromatic,1
duroc,1
compart,1
emperor,1
starred,1
michelin,1
ohm,1
brother,1
suansilphong,1
chat,1
charming,1
bump,1
specifically,1
offered,1
reorderingalso,1
clothes,1
amazeballsyou,1
blow,1
creative,1
255,1
fattier,1
nervous,1
105,1
nom,1
musselsquid,1
warranted,1
galangal,1
comparing,1
sized,1
seasonal,1
snack,1
hardplease,1
cocktailswe,1
sharedon't,1
culantro,1
striped,1
goodsteamed,1
survive,1
vaccine,1
roots,1
sliced,1
thinly,1
baked,1
tastycrab,1
scallion,1
goodmanila,1
solidly,1
makrut,1
sweeter,1
hidden,1
crying,1
rim,1
choking,1
seafoodthemed,1
singbut,1
fishscaled,1
lamps,1
weavesbasket,1
wowed,1
stepped,1
wiped,1
perfection,1
omitted,1
undertheradar,1
umami,1
mecca,1
dream,1
self,1
apply,1
lockdown,1
snagged,1
moredefinitely,1
wake,1
meats,1
hazard,1
poster,1
element,1
cohesion,1
settled,1
hhs,1
700everything,1
digits,1
comfortable,1
goodthe,1
failed,1
sadly,1
that'll,1
traveling,1
handleall,1
granted,1
richness,1
tastebuds,1
rices,1
1233057,1
pleasanteverything,1
waiters,1
interactions,1
layers,1
mindwe,1
flavor*crab,1
spritz,1
moly,1
distinct,1
slivers,1
reward,1
welldeserved,1
relief,1
cooling,1
scoops,1
dessertcoconut,1
onenote,1
glaze,1
syrup,1
rez,1
painfully,1
bonustldr,1
enjoyably,1
edge,1
teetered,1
355,1
optionkhua,1
hoisinsaucy,1
leans,1
intense,1
states,1
pouring,1
painful,1
jelly,1
comfort,1
good*po,1
abundance,1
details,1
$30i,1
dined,1
musician,1
artistpainter,1
class,1
shinning,1
values,1
purple,1
extensive,1
skimped,1
airways,1
zone,1
cushion,1
wood,1
beefoverall,1
booth,1
natural,1
longer,1
munched,1
smelly,1
munch,1
lively,1
overwhelming,1
810,1
arrives,1
uncomfortable,1
arrivethe,1
rubbed,1
tam,1
som,1
plaa,1
khai,1
yam,1
husband,1
intimatemy,1
flavorfulwe,1
doable,1
holding,1
345pm,1
optioncoconut,1
phone,1
alert,1
spicereservations,1
wineinstagram,1
unwillingness,1
nails,1
legit,1
hunt,1
honeymoon,1
villa,1
nutshell,1
dried,1
quinoa,1
punchy,1
oystersfor,1
sweetsoursalty,1
pour,1
crispiness,1
retains,1
curled,1
guard,1
caught,1
hungry,1
greasy,1
bean,1
magic,1
reserving,1
weekdays,1
ewe,1
challenge,1
alldefinitely,1
idle,1
hurts,1
spoonfulbite,1
instantly,1
bearable,1
suck,1
1pmwe,1
spoil,1
discoveries,1
adventures,1
sprinkled,1
les,1
plusmy,1
efficient,1
sad,1
